U+4C98	g,ua,n	g,u,n	,,	,,
U+4A6B	l,ia,ng	l,oe,ng	,,	,,
U+7B54	d,a,#	d,aa,p	t,a,p	đ,a,p
U+5BBE	b,i,n	b,a,n	,,	,,
U+92E7	x,ia,n	j,i,n	,,	,,
U+6C5C	s,i,#	c,i,#	s,a,#	d,ây,#
U+5E0A	p,a,#	p,aa,#	,,	,,
U+41E5	z,e,#	z,aa,k	,,	,,
U+7A7F	ch,ua,n	c,yu,n	ch,e,n	x,uyê,n1
U+76BD	zh,a,n	z,i,n	,,	,,
U+979C	t,a,#	d,aa,p	,,	,,
U+9566	d,ui,#	d,eo,n	,,	,,
U+543C	h,ou,#	h,aau,#	h,wu,#	h,ô,ng
U+2789D	,,	l,ai,#	,,	,,
U+7009	x,ie,#	s,e,#	s,a,#	t,a,#
U+8A73	x,ia,ng	c,oe,ng	s,a,ng	t,ươ,ng
U+4447	zh,i,#	z,a,t	,,	,,
U+89FF	x,i,#	kw,ai,#	,,	,,
U+3643	,,	b,o,ng	,,	,,
U+7C4A	t,i,#	d,i,k	,,	,,
U+50C4	p,iao,#	p,iu,#	ph,yo,#	x,iu,#
U+4556	,,	s,yu,n	,,	,,
U+3B6B	c,ua,n	c,o,#	,,	,,
U+56B6	y,i,ng	#,a,ng	#,ay,ng	#,i,nh
U+6BAF	b,i,n	b,a,n	p,i,n	t,â,n
U+6ACD	zh,i,#	z,a,t	,,	,,
U+96F2	y,u,n	w,a,n	#,wu,n	v,â,n
U+6C50	x,i,#	z,i,k	s,e,k	đ,â,p
U+96B2	#,e,#	z,a,t	,,	,,
U+8CC7	z,i,#	z,i,#	c,a,#	,,
U+8FDB	j,i,n	z,eo,n	,,	,,
U+3A7A	,,	p,ei,#	,,	,,
U+6AA5	y,i,#	ng,ai,#	,,	,,
U+8D1D	b,ei,#	b,ui,#	,,	,,
U+9EAA	m,ia,n	m,i,n	m,ye,n	,,
U+7CBA	b,ai,#	b,aai,#	,,	,,
U+356B	f,a,ng	f,o,ng	,,	,,
U+4974	,,	t,eo,n	,,	,,
U+8B87	ch,a,n	c,i,m	,,	,,
U+4D41	q,ia,ng	c,oe,ng	,,	,,
U+2070E	x,ia,n	s,i,n	,,	,,
U+5A40	#,e,#	#,o,#	#,a,#	,,
U+7657	l,ei,#	l,eoi,#	,,	,,
U+5A58	q,ua,n	g,yu,n	,,	,,
U+4552	,,	g,aa,#	,,	,,
U+5F22	t,ao,#	t,ou,#	t,o,#	,,
U+9E9C	l,i,#	l,eo,t	,,	,,
U+946D	l,a,n	l,aa,n	,,	,,
U+4D32	m,o,#	m,u,t	,,	,,
U+92B7	x,iao,#	s,iu,#	s,o,#	t,iu,#
U+23617	,,	n,i,k	,,	,,
U+9AAD	g,a,n	g,o,n	,,	,,
U+51B6	y,e,#	j,e,#	#,ya,#	d,a,#
U+3B8B	y,ou,#	z,aau,#	,,	,,
U+84FB	j,i,#	z,a,p	,,	gi,â,p
U+6C0B	m,e,ng	m,u,ng	,,	,,
U+73A6	j,ue,#	k,yu,t	k,ye,l	,,
U+4065	n,i,#	n,i,k	,,	,,
U+422C	p,u,#	p,ou,#	,,	,,
U+9500	x,iao,#	s,iu,#	,,	,,
U+63F5	q,ia,n	k,i,n	k,e,n	,,
U+9600	f,a,#	f,a,t	,,	,,
U+44A0	f,a,n	f,u,ng	,,	,,
U+344E	n,ao,#	n,ou,#	,,	,,
U+6EF7	l,u,#	l,ou,#	l,o,#	,,
U+6B7A	d,ai,#	d,aai,#	,,	,,
U+75A5	j,ie,#	g,aai,#	k,ay,#	,,
U+3BB2	,,	c,aai,#	,,	,,
U+3BE6	q,i,#	k,ei,#	,,	,,
U+481A	w,a,#	m,aa,t	,,	,,
U+4B10	w,ei,#	w,aai,#	,,	,,
U+299A2	,,	j,yu,#	,,	,,
U+8F2D	r,ua,n	j,yu,n	,,	,,
U+7531	y,ou,#	j,au,#	#,yu,#	d,o,#
U+3431	zh,e,n	c,aa,#	,,	,,
U+616A	#,ou,#	#,au,#	,,	,,
U+8475	k,ui,#	kw,ai,#	k,yu,#	qu,y,#
U+6450	ch,ua,ng	c,u,ng	,,	,,
U+3B10	j,i,n	z,eo,n	,,	,,
U+226F5	,,	z,a,ng	,,	,,
U+742F	g,ua,n	g,u,n	k,wa,n	,,
U+50E3	j,ia,n	z,i,m	ch,a,m	,,
U+3780	,,	f,ui,#	,,	,,
U+4C34	q,i,#	g,a,t	,,	,,
U+7C53	f,a,n	b,u,n	,,	,,
U+7AC5	q,iao,#	h,iu,#	k,yu,#	kh,iu,#
U+3586	q,u,#	k,u,k	,,	,,
U+7D88	t,i,#	t,ai,#	,,	,,
U+97A6	q,iu,#	c,au,#	ch,wu,#	,,
U+97E9	h,a,n	h,o,n	,,	,,
U+8A5B	z,u,#	z,o,#	c,e,#	tr,ơ,#
U+6FFA	j,ia,n	z,i,n	ch,e,n	,,
U+4C5D	b,a,#	p,aai,#	,,	,,
U+6A80	t,a,n	t,aa,n	t,a,n	đ,a,n
U+6B1D	y,u,#	w,a,t	,,	,,
U+8BAA	sh,a,n	s,aa,n	,,	,,
U+5FCC	j,i,#	g,ei,#	k,i,#	k,i,#
U+61A7	ch,o,ng	c,u,ng	t,o,ng	,,
